datetime,holiday,workingday,weather,temp,humidity,windspeed,casual,registered,count,year,month,hour,weekday,windspeed_mapped,humidity_mapped,log_count
2011-01-01 00:00:00,0,0,1,9.84,81,0.0,3,13,16,2011,1,0,5,0.0,76.74455040871935,2.833213344056216
2011-01-01 01:00:00,0,0,1,9.02,80,0.0,8,32,40,2011,1,1,5,0.0,76.74455040871935,3.713572066704308
2011-01-01 02:00:00,0,0,1,9.02,80,0.0,5,27,32,2011,1,2,5,0.0,76.74455040871935,3.4965075614664802
2011-01-01 03:00:00,0,0,1,9.84,75,0.0,3,10,13,2011,1,3,5,0.0,76.74455040871935,2.6390573296152584
2011-01-01 04:00:00,0,0,1,9.84,75,0.0,0,1,1,2011,1,4,5,0.0,76.74455040871935,0.6931471805599453
2011-01-01 05:00:00,0,0,2,9.84,75,6.0032,0,1,1,2011,1,5,5,9.311776703768796,76.74455040871935,0.6931471805599453
2011-01-01 06:00:00,0,0,1,9.02,80,0.0,2,0,2,2011,1,6,5,0.0,76.74455040871935,1.0986122886681098
2011-01-01 07:00:00,0,0,1,8.2,86,0.0,1,2,3,2011,1,7,5,0.0,85.71576763485477,1.3862943611198906
2011-01-01 08:00:00,0,0,1,9.84,75,0.0,1,7,8,2011,1,8,5,0.0,76.74455040871935,2.1972245773362196
2011-01-01 09:00:00,0,0,1,13.12,76,0.0,8,6,14,2011,1,9,5,0.0,76.74455040871935,2.70805020110221
2011-01-01 10:00:00,0,0,1,15.58,76,16.9979,12,24,36,2011,1,10,5,17.835082205438066,76.74455040871935,3.6109179126442243
2011-01-01 11:00:00,0,0,1,14.76,81,19.0012,26,30,56,2011,1,11,5,17.835082205438066,76.74455040871935,4.04305126783455
2011-01-01 12:00:00,0,0,1,17.22,77,19.0012,29,55,84,2011,1,12,5,17.835082205438066,76.74455040871935,4.442651256490317
2011-01-01 13:00:00,0,0,2,18.86,72,19.9995,47,47,94,2011,1,13,5,17.835082205438066,67.82054533925174,4.553876891600541
2011-01-01 14:00:00,0,0,2,18.86,72,19.0012,35,71,106,2011,1,14,5,17.835082205438066,67.82054533925174,4.672828834461906
2011-01-01 15:00:00,0,0,2,18.04,77,19.9995,40,70,110,2011,1,15,5,17.835082205438066,76.74455040871935,4.709530201312334
2011-01-01 16:00:00,0,0,2,17.22,82,19.9995,41,52,93,2011,1,16,5,17.835082205438066,85.71576763485477,4.543294782270004
2011-01-01 17:00:00,0,0,2,18.04,82,19.0012,15,52,67,2011,1,17,5,17.835082205438066,85.71576763485477,4.219507705176107
2011-01-01 18:00:00,0,0,3,17.22,88,16.9979,9,26,35,2011,1,18,5,17.835082205438066,85.71576763485477,3.58351893845611
2011-01-01 19:00:00,0,0,3,17.22,88,16.9979,6,31,37,2011,1,19,5,17.835082205438066,85.71576763485477,3.6375861597263857
2011-01-01 20:00:00,0,0,2,16.4,87,16.9979,11,25,36,2011,1,20,5,17.835082205438066,85.71576763485477,3.6109179126442243
2011-01-01 21:00:00,0,0,2,16.4,87,12.998,3,31,34,2011,1,21,5,9.311776703768796,85.71576763485477,3.5553480614894135
2011-01-01 22:00:00,0,0,2,16.4,94,15.0013,11,17,28,2011,1,22,5,17.835082205438066,94.99853372434018,3.367295829986474
2011-01-01 23:00:00,0,0,2,18.86,88,19.9995,15,24,39,2011,1,23,5,17.835082205438066,85.71576763485477,3.6888794541139363
2011-01-02 00:00:00,0,0,2,18.86,88,19.9995,4,13,17,2011,1,0,6,17.835082205438066,85.71576763485477,2.8903717578961645
2011-01-02 01:00:00,0,0,2,18.04,94,16.9979,1,16,17,2011,1,1,6,17.835082205438066,94.99853372434018,2.8903717578961645
2011-01-02 02:00:00,0,0,2,17.22,100,19.0012,1,8,9,2011,1,2,6,17.835082205438066,94.99853372434018,2.302585092994046
2011-01-02 03:00:00,0,0,2,18.86,94,12.998,2,4,6,2011,1,3,6,9.311776703768796,94.99853372434018,1.9459101490553132
2011-01-02 04:00:00,0,0,2,18.86,94,12.998,2,1,3,2011,1,4,6,9.311776703768796,94.99853372434018,1.3862943611198906
2011-01-02 06:00:00,0,0,3,17.22,77,19.9995,0,2,2,2011,1,6,6,17.835082205438066,76.74455040871935,1.0986122886681098
2011-01-02 07:00:00,0,0,2,16.4,76,12.998,0,1,1,2011,1,7,6,9.311776703768796,76.74455040871935,0.6931471805599453
2011-01-02 08:00:00,0,0,3,16.4,71,15.0013,0,8,8,2011,1,8,6,17.835082205438066,67.82054533925174,2.1972245773362196
2011-01-02 09:00:00,0,0,2,15.58,76,15.0013,1,19,20,2011,1,9,6,17.835082205438066,76.74455040871935,3.044522437723423
2011-01-02 10:00:00,0,0,2,14.76,81,15.0013,7,46,53,2011,1,10,6,17.835082205438066,76.74455040871935,3.9889840465642745
2011-01-02 11:00:00,0,0,2,14.76,71,16.9979,16,54,70,2011,1,11,6,17.835082205438066,67.82054533925174,4.2626798770413155
